更新时间: 2026-04-10 09:10:49（北京时间）

更新时间,#genre#
2026-04-10 09:10:49,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
茶频道,http://223.10.214.111:6000/rtp/239.1.1.77:8077$山西电信
茶频道,http://58.19.32.207:4022/rtp/239.69.1.144:10500$湖北电信
汽摩,http://223.10.214.111:6000/rtp/239.1.1.92:8092$山西电信
梨园频道,http://220.176.218.27:9000/rtp/239.252.220.179:5140$江西电信
梨园频道,http://106.116.240.74:9999/rtp/239.254.201.231:7228$河北省电信
梨园频道,http://58.19.32.207:4022/rtp/239.69.1.33:9838$湖北电信
文物宝库,http://220.176.218.27:9000/rtp/239.252.220.158:5140$江西电信
武术世界,http://220.176.218.27:9000/rtp/239.252.220.180:5140$江西电信
武术世界,http://58.19.32.207:4022/rtp/239.69.1.47:9922$湖北电信
乐游,http://171.8.84.159:8800/rtp/239.16.20.111:11110$河南电信
乐游,http://106.116.240.74:9999/rtp/239.254.201.200:6356$河北省电信
乐游,http://223.10.214.111:6000/rtp/239.1.1.84:8084$山西电信
